text,label
Data released this week by the department overseeing climate policy showed a modest increase compared to last year. Governor Wei Zhang cautioned against drawing broad conclusions from a single year of data.,REAL
Health officials in Springfield issued updated guidance on a new vaccine after reviewing recent clinical data. Governor Wei Zhang emphasized that the guidance may be revised as more evidence becomes available.,REAL
URGENT WARNING: a tech company merger could be far more dangerous than officials admit. Anonymous insiders say Dr. Sarah Chen is deliberately downplaying the risk to avoid public panic.,FAKE
"The quarterly report on a sports championship was released Wednesday, showing results in line with analyst expectations. Mayor Linda Torres noted the figures were consistent with projections made earlier in the year.",REAL
BREAKING: Secret documents PROVE that a tech company merger is a total scam designed to control ordinary people. Insiders claim Dr. Sarah Chen has known the truth all along but has stayed silent to protect powerful friends.,FAKE
"You won't see this on the news: a natural disaster response is secretly being used to manipulate Millbrook residents, according to anonymous sources. Mayor Linda Torres allegedly ordered the cover-up personally.",FAKE
Experts are FURIOUS after leaked messages reveal the real agenda behind a school district. Critics say Dr. Sarah Chen is part of a hidden plan that mainstream media refuses to report on.,FAKE
URGENT WARNING: a university research team could be far more dangerous than officials admit. Anonymous insiders say Dr. Amara Okafor is deliberately downplaying the risk to avoid public panic.,FAKE
"The Riverside city council voted 6-2 on Thursday to move forward with a new vaccine, following months of public hearings. Senator Mark Ellis stated that the decision reflects input gathered from residents over the past year.",REAL
Officials in Oakdale confirmed on Tuesday that a university research team will be reviewed after a report from the city council. Senator Mark Ellis said the findings would be published next month and that public comment would be welcomed.,REAL
"SHOCKING: You won't believe what the national budget is really hiding from the public! Sources close to the matter say the truth about the national budget has been covered up for YEARS, and Governor Wei Zhang refuses to answer questions.",FAKE
"The Cedar Falls city council voted 6-2 on Thursday to move forward with a tech company merger, following months of public hearings. Mayor Linda Torres stated that the decision reflects input gathered from residents over the past year.",REAL
"WAKE UP: The real story behind the local election is finally exposed, and it's worse than anyone imagined. Government insiders warn that Minister Tom Becker is hiding shocking evidence from the public.",FAKE
"Unbelievable! A whistleblower claims a sports championship was rigged from the start, and Officer Ray Patel has been lying to the people of Millbrook for years. Mainstream media won't touch this story.",FAKE
"The quarterly report on a sports championship was released Wednesday, showing results in line with analyst expectations. Senator Mark Ellis noted the figures were consistent with projections made earlier in the year.",REAL
This ONE simple fact about climate policy that Springfield officials don't want you to know will change everything. Share before this gets deleted! Dr. Amara Okafor has reportedly been threatened into silence.,FAKE
"SHOCKING: You won't believe what a tech company merger is really hiding from the public! Sources close to the matter say the truth about a tech company merger has been covered up for YEARS, and Officer Ray Patel refuses to answer questions.",FAKE
This ONE simple fact about a natural disaster response that Oakdale officials don't want you to know will change everything. Share before this gets deleted! Governor Wei Zhang has reportedly been threatened into silence.,FAKE
Data released this week by the department overseeing the economy showed a modest increase compared to last year. Mayor Linda Torres cautioned against drawing broad conclusions from a single year of data.,REAL
"Unbelievable! A whistleblower claims a natural disaster response was rigged from the start, and Senator Mark Ellis has been lying to the people of Cedar Falls for years. Mainstream media won't touch this story.",FAKE
"SHOCKING: You won't believe what an energy project is really hiding from the public! Sources close to the matter say the truth about an energy project has been covered up for YEARS, and Senator Mark Ellis refuses to answer questions.",FAKE
"Representatives met in Fairview on Monday to discuss a stock market rally, with a follow-up session scheduled for next month. Governor Wei Zhang said both sides agreed to continue negotiations in good faith.",REAL
This ONE simple fact about the national budget that Oakdale officials don't want you to know will change everything. Share before this gets deleted! Dr. Amara Okafor has reportedly been threatened into silence.,FAKE
"SHOCKING: You won't believe what climate policy is really hiding from the public! Sources close to the matter say the truth about climate policy has been covered up for YEARS, and Professor James Lee refuses to answer questions.",FAKE
"The quarterly report on a celebrity was released Wednesday, showing results in line with analyst expectations. Dr. Amara Okafor noted the figures were consistent with projections made earlier in the year.",REAL
"The Springfield city council voted 6-2 on Thursday to move forward with a tech company merger, following months of public hearings. Minister Tom Becker stated that the decision reflects input gathered from residents over the past year.",REAL
"The quarterly report on a trade agreement was released Wednesday, showing results in line with analyst expectations. Professor James Lee noted the figures were consistent with projections made earlier in the year.",REAL
"Representatives met in Riverside on Monday to discuss a trade agreement, with a follow-up session scheduled for next month. Dr. Amara Okafor said both sides agreed to continue negotiations in good faith.",REAL
Health officials in Oakdale issued updated guidance on a government agency after reviewing recent clinical data. Mayor Linda Torres emphasized that the guidance may be revised as more evidence becomes available.,REAL
"According to a study published this week, a school district showed measurable changes over the past year. Researchers, including Senator Mark Ellis, noted that further data collection is planned before drawing final conclusions.",REAL
"WAKE UP: The real story behind a government agency is finally exposed, and it's worse than anyone imagined. Government insiders warn that Minister Tom Becker is hiding shocking evidence from the public.",FAKE
"Unbelievable! A whistleblower claims a public health study was rigged from the start, and Mayor Linda Torres has been lying to the people of Oakdale for years. Mainstream media won't touch this story.",FAKE
BREAKING: Secret documents PROVE that a new vaccine is a total scam designed to control ordinary people. Insiders claim Governor Wei Zhang has known the truth all along but has stayed silent to protect powerful friends.,FAKE
Health officials in Riverside issued updated guidance on a government agency after reviewing recent clinical data. Officer Ray Patel emphasized that the guidance may be revised as more evidence becomes available.,REAL
BREAKING: Secret documents PROVE that the economy is a total scam designed to control ordinary people. Insiders claim Governor Wei Zhang has known the truth all along but has stayed silent to protect powerful friends.,FAKE
"Unbelievable! A whistleblower claims a government agency was rigged from the start, and Governor Wei Zhang has been lying to the people of Millbrook for years. Mainstream media won't touch this story.",FAKE
This ONE simple fact about a trade agreement that Riverside officials don't want you to know will change everything. Share before this gets deleted! Mayor Linda Torres has reportedly been threatened into silence.,FAKE
URGENT WARNING: a celebrity could be far more dangerous than officials admit. Anonymous insiders say Dr. Sarah Chen is deliberately downplaying the risk to avoid public panic.,FAKE
Officials in Springfield confirmed on Tuesday that the local election will be reviewed after a report from the city council. Dr. Amara Okafor said the findings would be published next month and that public comment would be welcomed.,REAL
Health officials in Millbrook issued updated guidance on a celebrity after reviewing recent clinical data. Dr. Sarah Chen emphasized that the guidance may be revised as more evidence becomes available.,REAL
This ONE simple fact about a school district that Oakdale officials don't want you to know will change everything. Share before this gets deleted! Senator Mark Ellis has reportedly been threatened into silence.,FAKE
"Unbelievable! A whistleblower claims the economy was rigged from the start, and Dr. Amara Okafor has been lying to the people of Fairview for years. Mainstream media won't touch this story.",FAKE
"WAKE UP: The real story behind a natural disaster response is finally exposed, and it's worse than anyone imagined. Government insiders warn that Dr. Sarah Chen is hiding shocking evidence from the public.",FAKE
BREAKING: Secret documents PROVE that a stock market rally is a total scam designed to control ordinary people. Insiders claim Officer Ray Patel has known the truth all along but has stayed silent to protect powerful friends.,FAKE
Experts are FURIOUS after leaked messages reveal the real agenda behind climate policy. Critics say Dr. Amara Okafor is part of a hidden plan that mainstream media refuses to report on.,FAKE
Health officials in Springfield issued updated guidance on the local election after reviewing recent clinical data. Professor James Lee emphasized that the guidance may be revised as more evidence becomes available.,REAL
"Unbelievable! A whistleblower claims a natural disaster response was rigged from the start, and Dr. Amara Okafor has been lying to the people of Springfield for years. Mainstream media won't touch this story.",FAKE
"The Oakdale city council voted 6-2 on Thursday to move forward with a natural disaster response, following months of public hearings. Professor James Lee stated that the decision reflects input gathered from residents over the past year.",REAL
"The quarterly report on the economy was released Wednesday, showing results in line with analyst expectations. Senator Mark Ellis noted the figures were consistent with projections made earlier in the year.",REAL
"The Oakdale city council voted 6-2 on Thursday to move forward with a sports championship, following months of public hearings. Dr. Sarah Chen stated that the decision reflects input gathered from residents over the past year.",REAL
"Representatives met in Springfield on Monday to discuss a new vaccine, with a follow-up session scheduled for next month. Governor Wei Zhang said both sides agreed to continue negotiations in good faith.",REAL
"According to a study published this week, a school district showed measurable changes over the past year. Researchers, including Minister Tom Becker, noted that further data collection is planned before drawing final conclusions.",REAL
Data released this week by the department overseeing the local election showed a modest increase compared to last year. Senator Mark Ellis cautioned against drawing broad conclusions from a single year of data.,REAL
"SHOCKING: You won't believe what a natural disaster response is really hiding from the public! Sources close to the matter say the truth about a natural disaster response has been covered up for YEARS, and Officer Ray Patel refuses to answer questions.",FAKE
"SHOCKING: You won't believe what the local election is really hiding from the public! Sources close to the matter say the truth about the local election has been covered up for YEARS, and Dr. Sarah Chen refuses to answer questions.",FAKE
"You won't see this on the news: the economy is secretly being used to manipulate Oakdale residents, according to anonymous sources. Officer Ray Patel allegedly ordered the cover-up personally.",FAKE
"WAKE UP: The real story behind a sports championship is finally exposed, and it's worse than anyone imagined. Government insiders warn that Minister Tom Becker is hiding shocking evidence from the public.",FAKE
Officials in Riverside confirmed on Tuesday that the national budget will be reviewed after a report from the city council. Dr. Amara Okafor said the findings would be published next month and that public comment would be welcomed.,REAL
"You won't see this on the news: the national budget is secretly being used to manipulate Millbrook residents, according to anonymous sources. Dr. Amara Okafor allegedly ordered the cover-up personally.",FAKE
"The Springfield city council voted 6-2 on Thursday to move forward with a university research team, following months of public hearings. Officer Ray Patel stated that the decision reflects input gathered from residents over the past year.",REAL
"The quarterly report on a trade agreement was released Wednesday, showing results in line with analyst expectations. Mayor Linda Torres noted the figures were consistent with projections made earlier in the year.",REAL
"A report released by local authorities in Riverside outlines new steps regarding a public health study. Dr. Amara Okafor, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
"WAKE UP: The real story behind a trade agreement is finally exposed, and it's worse than anyone imagined. Government insiders warn that Minister Tom Becker is hiding shocking evidence from the public.",FAKE
"WAKE UP: The real story behind the economy is finally exposed, and it's worse than anyone imagined. Government insiders warn that Senator Mark Ellis is hiding shocking evidence from the public.",FAKE
"You won't see this on the news: a tech company merger is secretly being used to manipulate Springfield residents, according to anonymous sources. Dr. Sarah Chen allegedly ordered the cover-up personally.",FAKE
"A report released by local authorities in Cedar Falls outlines new steps regarding a natural disaster response. Dr. Sarah Chen, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
Health officials in Cedar Falls issued updated guidance on a university research team after reviewing recent clinical data. Professor James Lee emphasized that the guidance may be revised as more evidence becomes available.,REAL
"Representatives met in Riverside on Monday to discuss a tech company merger, with a follow-up session scheduled for next month. Minister Tom Becker said both sides agreed to continue negotiations in good faith.",REAL
BREAKING: Secret documents PROVE that a stock market rally is a total scam designed to control ordinary people. Insiders claim Professor James Lee has known the truth all along but has stayed silent to protect powerful friends.,FAKE
Data released this week by the department overseeing the national budget showed a modest increase compared to last year. Officer Ray Patel cautioned against drawing broad conclusions from a single year of data.,REAL
"You won't see this on the news: a public health study is secretly being used to manipulate Riverside residents, according to anonymous sources. Professor James Lee allegedly ordered the cover-up personally.",FAKE
"The Cedar Falls city council voted 6-2 on Thursday to move forward with a trade agreement, following months of public hearings. Dr. Amara Okafor stated that the decision reflects input gathered from residents over the past year.",REAL
This ONE simple fact about the economy that Cedar Falls officials don't want you to know will change everything. Share before this gets deleted! Professor James Lee has reportedly been threatened into silence.,FAKE
"The Millbrook city council voted 6-2 on Thursday to move forward with a school district, following months of public hearings. Dr. Amara Okafor stated that the decision reflects input gathered from residents over the past year.",REAL
"Representatives met in Springfield on Monday to discuss a new vaccine, with a follow-up session scheduled for next month. Mayor Linda Torres said both sides agreed to continue negotiations in good faith.",REAL
"A report released by local authorities in Cedar Falls outlines new steps regarding the economy. Senator Mark Ellis, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
"WAKE UP: The real story behind a university research team is finally exposed, and it's worse than anyone imagined. Government insiders warn that Mayor Linda Torres is hiding shocking evidence from the public.",FAKE
Officials in Millbrook confirmed on Tuesday that a sports championship will be reviewed after a report from the city council. Dr. Sarah Chen said the findings would be published next month and that public comment would be welcomed.,REAL
Data released this week by the department overseeing a trade agreement showed a modest increase compared to last year. Senator Mark Ellis cautioned against drawing broad conclusions from a single year of data.,REAL
"Representatives met in Cedar Falls on Monday to discuss a sports championship, with a follow-up session scheduled for next month. Officer Ray Patel said both sides agreed to continue negotiations in good faith.",REAL
Officials in Springfield confirmed on Tuesday that a natural disaster response will be reviewed after a report from the city council. Officer Ray Patel said the findings would be published next month and that public comment would be welcomed.,REAL
Officials in Springfield confirmed on Tuesday that a government agency will be reviewed after a report from the city council. Senator Mark Ellis said the findings would be published next month and that public comment would be welcomed.,REAL
URGENT WARNING: the economy could be far more dangerous than officials admit. Anonymous insiders say Governor Wei Zhang is deliberately downplaying the risk to avoid public panic.,FAKE
"According to a study published this week, a sports championship showed measurable changes over the past year. Researchers, including Officer Ray Patel, noted that further data collection is planned before drawing final conclusions.",REAL
"WAKE UP: The real story behind a stock market rally is finally exposed, and it's worse than anyone imagined. Government insiders warn that Minister Tom Becker is hiding shocking evidence from the public.",FAKE
Data released this week by the department overseeing a natural disaster response showed a modest increase compared to last year. Senator Mark Ellis cautioned against drawing broad conclusions from a single year of data.,REAL
Health officials in Fairview issued updated guidance on the local election after reviewing recent clinical data. Mayor Linda Torres emphasized that the guidance may be revised as more evidence becomes available.,REAL
"According to a study published this week, a natural disaster response showed measurable changes over the past year. Researchers, including Senator Mark Ellis, noted that further data collection is planned before drawing final conclusions.",REAL
Experts are FURIOUS after leaked messages reveal the real agenda behind a stock market rally. Critics say Dr. Sarah Chen is part of a hidden plan that mainstream media refuses to report on.,FAKE
Officials in Riverside confirmed on Tuesday that the economy will be reviewed after a report from the city council. Senator Mark Ellis said the findings would be published next month and that public comment would be welcomed.,REAL
This ONE simple fact about a celebrity that Fairview officials don't want you to know will change everything. Share before this gets deleted! Professor James Lee has reportedly been threatened into silence.,FAKE
"According to a study published this week, an energy project showed measurable changes over the past year. Researchers, including Professor James Lee, noted that further data collection is planned before drawing final conclusions.",REAL
"Representatives met in Millbrook on Monday to discuss a trade agreement, with a follow-up session scheduled for next month. Mayor Linda Torres said both sides agreed to continue negotiations in good faith.",REAL
"SHOCKING: You won't believe what a school district is really hiding from the public! Sources close to the matter say the truth about a school district has been covered up for YEARS, and Minister Tom Becker refuses to answer questions.",FAKE
"Representatives met in Springfield on Monday to discuss a university research team, with a follow-up session scheduled for next month. Governor Wei Zhang said both sides agreed to continue negotiations in good faith.",REAL
"SHOCKING: You won't believe what climate policy is really hiding from the public! Sources close to the matter say the truth about climate policy has been covered up for YEARS, and Senator Mark Ellis refuses to answer questions.",FAKE
